n_valid_F,valid_source_fit,a,s,sigma,var_ell,normal_intercept,normal_slope,theta,log_s,log_sigma,exclusion_reason,model_id,org_id,reference_sha256,context,A,C,O,REL10,R50,ECE10,Brier,H,Margin,n_valid_source,valid_summaries
584,True,-0.830919788316677,0.2975198624171262,0.23287987624402784,0.1427511052921394,5.39902977728672e-17,6.083413833562501e-17,-2.7928212307107017,-1.212274291797783,-1.457232510960112,,0-hero/Matter-0.1-7B,0-hero,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.6181506849315068,0.3320296379567274,-0.2861210469747794,0.08849194092221722,0.2654109589041096,0.2861447901533999,0.6559948875471315,0.9648761504836397,0.06948085297203269,1168,True
584,True,-0.7955360374585002,0.3367434744644147,0.2628387758865491,0.1824803897039055,-6.197477842941799e-17,1.8250241500687504e-17,-2.362439357507337,-1.088433841861855,-1.336214454220395,,0-hero/Matter-0.1-7B-DPO-preview,0-hero,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.6267123287671232,0.34139019606911764,-0.2853221326980056,0.08756645710106549,0.261986301369863,0.2853221326980056,0.644800924766035,0.9578000756792071,0.07967374128946647,1168,True
584,True,-0.7724208586004103,0.3741590874928738,0.30689390397074606,0.23417889104790546,8.744907385746096e-17,6.691755216918751e-17,-2.0644182766645267,-0.9830742043827629,-1.1812531807966493,,0-hero/Matter-0.1-7B-boost,0-hero,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.6267123287671232,0.3506674625682524,-0.27604486619887086,0.08360851604539875,0.2636986301369863,0.27607351565374966,0.6405285087696135,0.9519284221812357,0.08814213024609481,1168,True
584,True,-0.7038622269977705,0.45568260720379294,0.37183038504823596,0.3459044737531657,-8.820950058665627e-17,7.300096600275002e-17,-1.5446326365557008,-0.7859587486476365,-0.98931748285911,,0-hero/Matter-0.1-7B-boost-DPO,0-hero,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.6498287671232876,0.37062912013782584,-0.2791996469854618,0.08565679558591226,0.2363013698630137,0.2811459773764222,0.6201755757212699,0.9353008606023077,0.1105406670066648,1168,True
584,True,-0.7284308990013174,0.4331073335259153,0.33749693427192384,0.30148614299687565,7.984480656550783e-17,1.1558486283768752e-16,-1.6818715422599309,-0.8367696982659938,-1.0861988523495532,,0-hero/Matter-0.1-7B-boost-DPO-preview,0-hero,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.6455479452054794,0.3629839107918346,-0.2825640344136448,0.08600878938576832,0.25,0.28256403441364486,0.627044454838753,0.9417357122595009,0.10215061294052374,1168,True
584,True,-0.8608109914500245,0.2710221553762988,0.20193770080256937,0.11423184371024268,7.946459320091017e-17,3.0417069167812506e-17,-3.1761646580326155,-1.305554707288041,-1.5997960410181218,,0-hero/Matter-0.1-Slim-7B,0-hero,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.6053082191780822,0.3235972768886163,-0.2817109422894659,0.08476608620869905,0.285958904109589,0.28287842022448345,0.6667516384717361,0.9706145668995286,0.05978774867436703,1168,True
584,True,-0.8608109914500245,0.2710221553762988,0.20193770080256937,0.11423184371024268,7.946459320091017e-17,3.0417069167812506e-17,-3.1761646580326155,-1.305554707288041,-1.5997960410181218,,0-hero/Matter-0.1-Slim-7B-A,0-hero,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.6053082191780822,0.3235972768886163,-0.2817109422894659,0.08476608620869905,0.285958904109589,0.28287842022448345,0.6667516384717361,0.9706145668995286,0.05978774867436703,1168,True
584,True,-0.840816809723035,0.2923453248003451,0.21384316291304847,0.13119468725727587,5.627157796045314e-17,1.8250241500687504e-17,-2.876108281523791,-1.2298195562778091,-1.5425124162346322,,0-hero/Matter-0.1-Slim-7B-B,0-hero,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.6078767123287672,0.3290599134851089,-0.2788167988436583,0.085188896935695,0.2808219178082192,0.2798883741825449,0.6595713741509325,0.9669499426752002,0.06586652034401891,1168,True
584,True,-0.8229358467412117,0.316743992215768,0.22911729982346957,0.1528214936831801,6.995925908596876e-17,8.820950058665627e-17,-2.598110357151218,-1.149661426919665,-1.4735211802676484,,0-hero/Matter-0.1-Slim-7B-C,0-hero,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.6138698630136986,0.33346571476513015,-0.28040414824856846,0.0853370738329019,0.273972602739726,0.2815128152355812,0.6545527467236434,0.9638215716362409,0.07062866705825234,1168,True
584,True,-0.798913860969874,0.341735250845338,0.23981663965113226,0.17429500232388706,4.4104750293328134e-17,1.1862656975446879e-16,-2.3378151917123855,-1.073718962040671,-1.4278806490916058,,0-hero/Matter-0.1-Slim-7B-C-DPO,0-hero,645359ceec240b2b9cfba6b678e513d548a7fa9bd4197a996d31dc0b9a7f6163,outer2/test,0.6352739726027398,0.3384046113620038,-0.296869361240736,0.09639631285471259,0.2534246575342466,0.29721913140955974,0.6468455099393915,0.9599948097830435,0.07610652426711478,1168,True
