model_id,method,repetitions,total_wall_seconds_q25,total_wall_seconds_median,total_wall_seconds_q75,total_cpu_seconds_q25,total_cpu_seconds_median,total_cpu_seconds_q75,io_wall_seconds_q25,io_wall_seconds_median,io_wall_seconds_q75,io_cpu_seconds_q25,io_cpu_seconds_median,io_cpu_seconds_q75,extract_project_wall_seconds_q25,extract_project_wall_seconds_median,extract_project_wall_seconds_q75,extract_project_cpu_seconds_q25,extract_project_cpu_seconds_median,extract_project_cpu_seconds_q75,extract_project_predict_wall_seconds_q25,extract_project_predict_wall_seconds_median,extract_project_predict_wall_seconds_q75,extract_project_predict_cpu_seconds_q25,extract_project_predict_cpu_seconds_median,extract_project_predict_cpu_seconds_q75
0-hero/Matter-0.1-7B-DPO-preview,B0,3,0.029422182589769363,0.029533257707953453,0.03029479179531336,0.022398308999999728,0.0224660480000054,0.023035319500007034,0.009929938241839409,0.010553725063800812,0.010639138519763947,0.002782624000001732,0.0031030090000001564,0.0033129565000038497,0.013933948241174221,0.01397702842950821,0.014105403795838356,0.013935638500001346,0.013978608000002168,0.014106783999999095,0.019369522109627724,0.01996365748345852,0.020210704766213894,0.019372092499999383,0.019966519000007565,0.020213860500007286
0-hero/Matter-0.1-7B-DPO-preview,Bd,3,0.030770063400268555,0.030980156734585762,0.031385782174766064,0.02264531249999635,0.023084998000001633,0.02338380100000137,0.010578942485153675,0.010641660541296005,0.010748635977506638,0.0024552975000062816,0.0027476980000074036,0.0027478545000043653,0.013751896098256111,0.013804260641336441,0.014068803749978542,0.013753538000003118,0.013805808000000752,0.01407048900000163,0.020150408148765564,0.0202955212444067,0.020594454370439053,0.020153405000023383,0.020298700000040526,0.02059763150002425
0-hero/Matter-0.1-7B-DPO-preview,J,3,0.02931160945445299,0.031016897410154343,0.031240574084222317,0.02212149200001079,0.023227232000010645,0.023364882000006304,0.009616990573704243,0.010470693930983543,0.01101487036794424,0.0025655379999989236,0.0029574499999966974,0.0031404065000089076,0.013787039555609226,0.013863049447536469,0.01415654830634594,0.013788807499992117,0.013864737999995214,0.014158304499996888,0.01933523826301098,0.01986345276236534,0.020183986984193325,0.01933812199999352,0.019866508999996313,0.020187050499998804
0-hero/Matter-0.1-7B-DPO-preview,P_A1,3,0.03015450667589903,0.03054157830774784,0.03150223661214113,0.02211909199998985,0.022514017999981206,0.02327776549999072,0.01049875933676958,0.010812131687998772,0.011087905615568161,0.002464879000001474,0.0027863400000001093,0.00286485999999897,0.013862024992704391,0.014005109667778015,0.014127032831311226,0.013863813000007497,0.014006878000003553,0.014129178499999284,0.019616329111158848,0.01969126984477043,0.020374072715640068,0.019618958000009457,0.019693807999999535,0.020377170499997987
0-hero/Matter-0.1-7B-DPO-preview,P_A2,3,0.029588956385850906,0.03094237670302391,0.030977626331150532,0.022244647499999104,0.022688569999999686,0.022730579499999237,0.009696096181869507,0.01041361689567566,0.010682114399969578,0.002359528499997765,0.0025449880000039116,0.002628179000009112,0.013847299851477146,0.013931779190897942,0.014263562858104706,0.013849113500004506,0.013933608999998626,0.014259814500004353,0.019620543345808983,0.02002105489373207,0.02024741005152464,0.0196235130000062,0.020024069000015743,0.02024473000001592
0-hero/Matter-0.1-7B-DPO-preview,P_A3,3,0.030425820499658585,0.03134502284228802,0.031902953051030636,0.022848369999998397,0.023554802999996127,0.023776708499998023,0.010743048042058945,0.010907219722867012,0.011086584068834782,0.0029612559999989685,0.0031177719999959663,0.00316648150000276,0.013899597339332104,0.013906257227063179,0.014392558485269547,0.01390158849999068,0.013908328999974628,0.014394540499989006,0.019642574712634087,0.020392868667840958,0.020771490409970284,0.019645828499974982,0.020396560999955682,0.0207750024999811
0-hero/Matter-0.1-7B-DPO-preview,P_A4,3,0.029178863391280174,0.029468948021531105,0.03092134650796652,0.022521118500009152,0.02285865900000772,0.022862044500005396,0.00975192990154028,0.009821459650993347,0.01093385647982359,0.0027550694999902703,0.0029782010000047876,0.003098661000002778,0.013723445124924183,0.013773150742053986,0.01412231381982565,0.013725102999991634,0.013774587999989762,0.014123964499994202,0.01938797067850828,0.019609712064266205,0.019946914166212082,0.019390937999990143,0.019612568999995972,0.019949864999997402
0-hero/Matter-0.1-7B-DPO-preview,P_A5,3,0.029788324609398842,0.030623286962509155,0.03111138381063938,0.022650714000004513,0.022964580000000012,0.023061829999999617,0.009705175645649433,0.009934728965163231,0.010608588345348835,0.002564903499997939,0.0028525289999947745,0.0028563794999953984,0.013807755894958973,0.013921529054641724,0.014658939093351364,0.013805048500003636,0.013914209000006394,0.014656106000003888,0.01985606923699379,0.020274754613637924,0.020463261753320694,0.0198523945000062,0.020264480999998113,0.020459361499998607
0-hero/Matter-0.1-7B-DPO-preview,P_B1,3,0.029020490124821663,0.029545528814196587,0.03005952015519142,0.022288341999995964,0.022581777999988617,0.02269535349999785,0.009427731856703758,0.009881038218736649,0.010241685435175896,0.002547303500001874,0.002611448999999766,0.0028784049999970307,0.014051043428480625,0.01409168727695942,0.014092972502112389,0.014050258999997567,0.014088098999998522,0.014090799000005205,0.019554528407752514,0.019624680280685425,0.019777157343924046,0.019553562999998775,0.01962776799999233,0.019780258500006198
0-hero/Matter-0.1-7B-DPO-preview,P_B2,3,0.02746493648737669,0.02776636928319931,0.028413708321750164,0.02023027499999941,0.020549080999998637,0.020856567000002713,0.009704179130494595,0.00996769592165947,0.010374323464930058,0.002470268499997985,0.0027510099999972226,0.002817964999991318,0.01404548343271017,0.014215439558029175,0.014380928128957748,0.01404749849999476,0.01421723899999705,0.014382604499996177,0.01771676540374756,0.01775289885699749,0.017993870191276073,0.017720090999997495,0.017756540999997128,0.017997342000008132
0-hero/Matter-0.1-7B-DPO-preview,P_B3,3,0.027341695502400398,0.028090616688132286,0.02878392767161131,0.01991499849999201,0.020276917999979105,0.020470409999990835,0.009957020170986652,0.01010683923959732,0.01119245495647192,0.002724959999998333,0.0027686009999996486,0.0029235999999954743,0.013697340153157711,0.013728009536862373,0.014127927832305431,0.013699126999995315,0.013729767000000948,0.014129704000001908,0.016954388469457626,0.017156416550278664,0.017552188597619534,0.01695723300000651,0.017159619000011617,0.017555131000008828
0-hero/Matter-0.1-7B-DPO-preview,P_B4,3,0.029730860143899918,0.029785264283418655,0.03068392351269722,0.022225068499995615,0.022735330999999803,0.02293727649999866,0.009839789010584354,0.010078568011522293,0.010406729765236378,0.002212423499983629,0.0023069889999760562,0.0024295299999863573,0.013898595236241817,0.014175018295645714,0.014797183685004711,0.013900422999999051,0.014176898999998855,0.014792341500008632,0.01985105872154236,0.020143447443842888,0.020472914911806583,0.01985412899999872,0.020146630000006382,0.020469106500019763
0-hero/Matter-0.1-7B-DPO-preview,P_B5,3,0.029766594991087914,0.03056289069354534,0.030901847407221794,0.02215788099999827,0.022368205999995894,0.022819823499993674,0.010105246677994728,0.010381925851106644,0.010671403259038925,0.0024980630000079884,0.002807760000010262,0.0029568755000113356,0.013805809430778027,0.013905327767133713,0.014009053818881512,0.013807868000007772,0.013907467999999312,0.014010953499997925,0.019621573388576508,0.020139435306191444,0.02018667571246624,0.01961520800001182,0.020123730000022988,0.02013307000000708
0-hero/Matter-0.1-7B-DPO-preview,P_B6,3,0.027610410936176777,0.0281177069991827,0.028179485350847244,0.01975868450000462,0.020167973000013717,0.020285446000006147,0.009917069226503372,0.01036914624273777,0.010663467459380627,0.0023608090000024617,0.0025311420000093676,0.002531489500004369,0.014014678075909615,0.01426185667514801,0.0143031170591712,0.014016398499997251,0.014263758999987886,0.014305014499992552,0.017359856516122818,0.017602775245904922,0.017715602181851864,0.01736264499998441,0.017605610999964938,0.01771864649997923
0-hero/Matter-0.1-7B-DPO-preview,P_B7,3,0.029300332069396973,0.03049049712717533,0.03153027594089508,0.02239155800000958,0.023641802000014422,0.023795968000005274,0.009691734798252583,0.010230006650090218,0.010965460911393166,0.0026340345000015475,0.0030824310000028277,0.0032398315000001787,0.013909963890910149,0.014119267463684082,0.014344781637191772,0.013904793499996515,0.01410722899998973,0.014339769999995866,0.01956599298864603,0.020211253315210342,0.020517423748970032,0.019562188000001868,0.020200869999996485,0.020513961500000732
0-hero/Matter-0.1-7B-DPO-preview,P_C1,3,0.02836585510522127,0.02918623760342598,0.041597687639296055,0.02127827949999883,0.02203952800000053,0.024973142499991496,0.00929203163832426,0.009418921545147896,0.019327485002577305,0.002205642999996371,0.0022736490000028198,0.002704045000008648,0.014045492745935917,0.014403976500034332,0.016323267482221127,0.014047298999997793,0.014405850000002829,0.01632510199999615,0.019037853926420212,0.01973029039800167,0.022228860296308994,0.019040616499999885,0.01973305900000355,0.02223204199999884
0-hero/Matter-0.1-7B-DPO-preview,P_C2,3,0.03119378350675106,0.03150450065732002,0.031592365354299545,0.022872080999995603,0.022985481999995727,0.023182226999992395,0.011153780855238438,0.011422839015722275,0.01148731168359518,0.0028990110000037816,0.003034482000003891,0.003078481499997565,0.013798310421407223,0.01389508880674839,0.014063213020563126,0.013799928499999226,0.013896728999995389,0.014064859499995919,0.0199304586276412,0.019951166585087776,0.020081662572920322,0.019933329999993532,0.0199541599999975,0.020084745500014378
0-hero/Matter-0.1-7B-DPO-preview,P_C3,3,0.02926860749721527,0.02996978349983692,0.03177517931908369,0.022470446999999893,0.022526806999998428,0.023027523999989086,0.009740568697452545,0.010310085490345955,0.011727326549589634,0.002928209500012713,0.003101070000013806,0.0031162700000066934,0.013785680755972862,0.013844218105077744,0.01397546287626028,0.013783597999996289,0.01383825799999272,0.013973463499997507,0.019489986822009087,0.019619984552264214,0.02000551763921976,0.019492912499998738,0.019622807999994052,0.02000464400000368
0-hero/Matter-0.1-7B-DPO-preview,P_C4,3,0.029935902915894985,0.031130043789744377,0.03641905635595322,0.022876874999994357,0.023875062999991314,0.02394206299999624,0.009733440354466438,0.010465096682310104,0.015705646947026253,0.0026267944999958104,0.003113990999992211,0.003229615999998714,0.013965806923806667,0.014101186767220497,0.014400635845959187,0.013967548500005478,0.014103048999999146,0.014402615000001617,0.020158090628683567,0.0206174124032259,0.02066165953874588,0.020161295500003007,0.02062070200000221,0.020664956999993933
0-hero/Matter-0.1-7B-DPO-preview,P_D1,3,0.028787076473236084,0.028825800865888596,0.03035112377256155,0.021903881500001887,0.022060267000000522,0.022792420000001812,0.009561420418322086,0.009894737973809242,0.010613024234771729,0.0026850644999960593,0.0028178599999932885,0.002899290999991422,0.014025432989001274,0.014387896284461021,0.014539109542965889,0.014021688500001517,0.014378309999997896,0.014535340499996607,0.01918938010931015,0.019484229385852814,0.019992110319435596,0.01918673200000498,0.0194758780000015,0.019989669500002805
0-hero/Matter-0.1-7B-DPO-preview,P_D2,3,0.029755105264484882,0.030042264610528946,0.03014841303229332,0.022118752999997326,0.022152218999998752,0.022417608000001366,0.009916883893311024,0.010167257860302925,0.010371395386755466,0.002441098500000294,0.0025966480000079173,0.002641704500007336,0.013872378505766392,0.01399129070341587,0.014142153784632683,0.013874252999993786,0.013993278999997472,0.014144214000001654,0.01959383115172386,0.019759079441428185,0.019902395084500313,0.01959708300000429,0.01976242800000705,0.019905608000001962
0-hero/Matter-0.1-7B-DPO-preview,P_D3,3,0.029290707781910896,0.029972022399306297,0.030479824170470238,0.022513308500002438,0.023137512000005245,0.02317832150000143,0.009762122295796871,0.009928936138749123,0.010196930728852749,0.0027457595000015544,0.002876009000004842,0.0030265300000031914,0.013744079507887363,0.01377771981060505,0.013891885057091713,0.01374585800000716,0.013779658000004247,0.013893758500000075,0.019490962848067284,0.0200028158724308,0.02023809403181076,0.0194936380000037,0.02000579999999985,0.020241471000016276
0-hero/Matter-0.1-7B-DPO-preview,P_D4,3,0.029299027286469936,0.029791854321956635,0.03069124650210142,0.022327803000006696,0.022890619000008883,0.023333790999998882,0.009666236117482185,0.010087698698043823,0.010510824620723724,0.002663030000000788,0.0031213510000043243,0.0031545060000013336,0.01400068961083889,0.014193899929523468,0.014198117889463902,0.014002433999994679,0.014195739999998125,0.01419974499998844,0.019593775272369385,0.01966281794011593,0.02013834659010172,0.019596492999998105,0.01966553799999815,0.020141204999973183
0-hero/Matter-0.1-7B-DPO-preview,Q_C1,3,0.028155437670648098,0.029215719550848007,0.03325951937586069,0.02088170299999703,0.022378637999999285,0.023192970499994914,0.009654956869781017,0.00975935161113739,0.013167066499590874,0.0023820585000002836,0.0027146400000006565,0.002997210500002012,0.013380534015595913,0.013944879174232483,0.014042994007468224,0.013382252000006645,0.013947009000020216,0.014044944000008996,0.018463313579559326,0.019627440720796585,0.020155668258666992,0.018469444499991994,0.019630387999995946,0.020158844999997427
